name,num_game,avg_rating
,,
  Milestone S.r.l.,1,6.67
 AFBIK Studio,2,8
 AYE Technology,1,2.5
 Anea_Duo_Dev,1,5.56
 Asterion Games,1,8.02
 Aurora software,1,10
 Black Poodle Entertainment,1,8.89
 Boogygames Studios,1,4.29
 Dagestan Technology,1,8.8
 David J Ozsvath,1,10
 Droid Riot,1,5
 Fazan,1,6.93
 FobTi interactive,1,9.26
 Game for people,2,7.29
" Game for people	",1,4.48
 GrabTheGames,3,9.48
 I SHOW YOU,1,10
 Imbanova Entertainment Inc.,1,1.92
 Inertia Game Studios,1,8.33
 Maciej Targoni,1,9.18
 MariLuzaria,1,8
 Metal Fox,1,6.67
 Mirain Mainklain,1,9.07
 NRVR Studios,1,8
 Nekyau,4,3.71
 Nekyau Games,3,6.16
 Nikita Online,1,4
 OnBlind,1,3.91
 Polina Medyanik,1,5
 Ragnar,1,2.5
 Ravio Karo,1,9.09
 RoBot,1,5.31
 Rotten Horse Games,1,10
 Sean Davy,2,8.11
 The Idea Software,1,10
 Trueyuna Technology Co. Ltd.,1,8.65
 VR PrinceTechnology development Beijing Co. Ltd,1,5.65
 VeaTryzLon-ZeGod,1,8.72
 VladProduction,1,1.25
 Volokitin Andrey,1,7.69
 Wargaming Group Limited,1,5.92
 Zotdinex,1,10
 s_unk,1,6.67
!Lim studio,8,5.49
(STCG) Smoker The Car Game,1,5
(none),2,8.5
++Good Games;GameChanger Charity,1,8
+7 Software,1,8.91
#NAME?,1,8.22
-,3,8.37
--,1,10
#NAME?,1,10
.M.Y.W.,1,9.13
.ez Games,1,5.88
0Cube,4,8.66
100 Plus Games llc,1,0
100 Stones Interactive,1,8.7
10101 Software,2,6.36
101XP,3,5.5
10Ants Hill,1,6.83
10ft Games,1,6.67
10ravens s.r.o.,1,10
10tons Ltd,14,8.19
10x10 Room,1,8
11 bit studios,7,8.26
11Sheep,1,9.02
12 East Games,1,9.33
12 to 6 Studios LLC,1,10
12B3,1,10
13-lab;azimut team,3,2.05
13AM Games,1,8.25
13AM Shipping Solutions;13AM Games,1,6.2
14 Hours Productions,1,9.53
14Dimension Enterprise,2,3.75
16 Swans,1,10
17-BIT,2,8.17
17Studio,2,7.22
1812 Productions,1,2.58
1939 Games,1,8.11
1C Company,1,9.39
1C Entertainment,73,6.93
1C Entertainment;1C-SoftClub,3,7.67
1C Entertainment;Shaman Games Studio,3,6.23
1C Game Studios,1,7.06
1C Online Games,2,6.05
1C-777,1,5.24
1MP,1,10
1bgame,1,10
1st impact games,1,8.33
2 Bad Design,1,10
2 Hit Studio,1,10
2 Zombie Games,1,8.05
2-Volt Games,1,7.65
2.0 Studios,1,5.11
2020 Venture,1,6.27
2049VR,2,6.89
20Tab,1,10
20letpast,1,7.5
25% Games,1,6.36
2645interactive,1,5
26k,1,9.09
2BAD GAMES,1,10
2BDev,1,0
2Bit Studios,1,10
2Brains Games,1,10
2Chance Projects,1,8.98
